PHA 1 — 2285 bài, 5 tiến trình
  [pha1 50/2285] TRẦN   normal_0042
  [pha1 70/2285] TRẦN   normal_0062
  [pha1 111/2285] TRẦN   normal_0087
  [pha1 119/2285] TRẦN   normal_0115
  [pha1 150/2285] TRẦN   normal_0090
  [pha1 152/2285] TRẦN   normal_0092
  [pha1 200/2285] 4 phút, còn ~37 phút | {'GIỐNG': 194, 'TRẦN': 6}
  [pha1 239/2285] TRẦN   normal_0227
  [pha1 247/2285] TRẦN   normal_0187
  [pha1 249/2285] TRẦN   normal_0221
  [pha1 286/2285] TRẦN   normal_0282
  [pha1 301/2285] ĐỔI    normal_0285
  [pha1 312/2285] TRẦN   normal_0300
  [pha1 325/2285] TRẦN   normal_0313
  [pha1 335/2285] TRẦN   normal_0327
  [pha1 363/2285] TRẦN   normal_0331
  [pha1 366/2285] TRẦN   normal_0342
  [pha1 379/2285] TRẦN   normal_0379
  [pha1 400/2285] 7 phút, còn ~34 phút | {'GIỐNG': 383, 'TRẦN': 16, 'ĐỔI': 1}
  [pha1 434/2285] ĐỔI    normal_0422
  [pha1 445/2285] TRẦN   normal_0401
  [pha1 481/2285] TRẦN   normal_0457
  [pha1 552/2285] TRẦN   normal_0484
  [pha1 553/2285] ĐỔI    normal_0561
  [pha1 564/2285] TRẦN   normal_0492
  [pha1 600/2285] 9 phút, còn ~27 phút | {'GIỐNG': 577, 'TRẦN': 20, 'ĐỔI': 3}
  [pha1 628/2285] TRẦN   normal_0620
  [pha1 675/2285] TRẦN   normal_0659
  [pha1 702/2285] TRẦN   normal_0650
  [pha1 737/2285] TRẦN   normal_0737
  [pha1 744/2285] ĐỔI    normal_0744
  [pha1 793/2285] TRẦN   normal_0793
  [pha1 798/2285] TRẦN   normal_0802
  [pha1 800/2285] 13 phút, còn ~24 phút | {'GIỐNG': 770, 'TRẦN': 26, 'ĐỔI': 4}
  [pha1 850/2285] TRẦN   normal_0818
  [pha1 897/2285] TRẦN   normal_0861
  [pha1 933/2285] ĐỔI    normal_0917
  [pha1 964/2285] TRẦN   normal_0968
  [pha1 965/2285] TRẦN   normal_0973
  [pha1 975/2285] TRẦN   normal_0959
  [pha1 986/2285] TRẦN   normal_0938
  [pha1 1000/2285] 16 phút, còn ~21 phút | {'GIỐNG': 963, 'TRẦN': 32, 'ĐỔI': 5}
  [pha1 1036/2285] TRẦN   hard1_0040
  [pha1 1039/2285] TRẦN   hard1_0007
  [pha1 1047/2285] TRẦN   hard1_0035
  [pha1 1050/2285] TRẦN   hard1_0050
  [pha1 1055/2285] ĐỔI    hard1_0067
  [pha1 1074/2285] TRẦN   hard1_0054
  [pha1 1076/2285] TRẦN   hard1_0056
  [pha1 1092/2285] ĐỔI    hard2_0027
  [pha1 1099/2285] TRẦN   hard2_0022
  [pha1 1106/2285] ĐỔI    hard2_0053
  [pha1 1113/2285] TRẦN   hard2_0044
  [pha1 1117/2285] TRẦN   hard2_0036
  [pha1 1118/2285] TRẦN   hard2_0037
  [pha1 1122/2285] TRẦN   hard2_0049
  [pha1 1124/2285] ĐỔI    hard2_0051
  [pha1 1131/2285] TRẦN   hard2_0066
  [pha1 1138/2285] TRẦN   hard2_0057
  [pha1 1151/2285] TRẦN   hard2_0086
  [pha1 1153/2285] TRẦN   hard2_0072
  [pha1 1155/2285] TRẦN   hard2_0074
  [pha1 1158/2285] TRẦN   hard2_0089
  [pha1 1165/2285] TRẦN   hard2_0080
  [pha1 1166/2285] TRẦN   hard2_0081
  [pha1 1167/2285] TRẦN   hard2_0082
  [pha1 1170/2285] ĐỔI    hard2_0097
  [pha1 1171/2285] ĐỔI    hard2_0098
  [pha1 1179/2285] TRẦN   hard2_0106
  [pha1 1183/2285] ĐỔI    hard2_0114
  [pha1 1187/2285] TRẦN   hard2_0110
  [pha1 1193/2285] TRẦN   hard2_0132
  [pha1 1200/2285] 23 phút, còn ~21 phút | {'GIỐNG': 1133, 'TRẦN': 55, 'ĐỔI': 12}
  [pha1 1201/2285] TRẦN   hard2_0116
  [pha1 1202/2285] TRẦN   hard2_0117
  [pha1 1205/2285] TRẦN   hard2_0140
  [pha1 1206/2285] ĐỔI    hard2_0141
  [pha1 1210/2285] TRẦN   hard2_0145
  [pha1 1214/2285] TRẦN   hard2_0149
  [pha1 1219/2285] TRẦN   hard2_0130
  [pha1 1242/2285] ĐỔI    hard2_0153
  [pha1 1255/2285] TRẦN   hard2_0178
  [pha1 1266/2285] TRẦN   hard2_0193
  [pha1 1273/2285] TRẦN   hard2_0184
  [pha1 1285/2285] TRẦN   hard2_0200
  [pha1 1292/2285] TRẦN   hard2_0199
  [pha1 1343/2285] TRẦN   hard3_0066
  [pha1 1361/2285] TRẦN   hard3_0068
  [pha1 1368/2285] TRẦN   hard3_0087
  [pha1 1370/2285] TRẦN   hard3_0109
  [pha1 1385/2285] TRẦN   hard3_0088
  [pha1 1386/2285] TRẦN   hard3_0089
  [pha1 1387/2285] TRẦN   hard3_0090
  [pha1 1391/2285] TRẦN   hard3_0106
  [pha1 1392/2285] TRẦN   hard3_0107
  [pha1 1397/2285] TRẦN   hard3_0124
  [pha1 1400/2285] TRẦN   hard3_0127
  [pha1 1404/2285] TRẦN   hard3_0131
  [pha1 1406/2285] TRẦN   hard3_0133
  [pha1 1409/2285] TRẦN   hard3_0148
  [pha1 1424/2285] TRẦN   hard3_0147
  [pha1 1450/2285] TRẦN   hard3_0137
  [pha1 1451/2285] TRẦN   hard3_0138
  [pha1 1457/2285] TRẦN   hard3_0188
  [pha1 1471/2285] TRẦN   hard3_0202
  [pha1 1487/2285] TRẦN   hard3_0210
  [pha1 1497/2285] TRẦN   hard3_0196
  [pha1 1498/2285] TRẦN   hard3_0197
  [pha1 1499/2285] TRẦN   hard3_0198
  [pha1 1501/2285] ĐỔI    hard3_0232
  [pha1 1506/2285] TRẦN   hard3_0213
  [pha1 1507/2285] TRẦN   hard3_0214
  [pha1 1509/2285] TRẦN   hard3_0240
  [pha1 1512/2285] TRẦN   hard3_0243
  [pha1 1516/2285] TRẦN   hard3_0255
  [pha1 1518/2285] TRẦN   hard3_0249
  [pha1 1521/2285] TRẦN   hard3_0244
  [pha1 1522/2285] TRẦN   hard3_0245
  [pha1 1525/2285] TRẦN   hard3_0256
  [pha1 1526/2285] TRẦN   hard3_0257
  [pha1 1530/2285] TRẦN   hard3_0261
  [pha1 1531/2285] TRẦN   hard3_0262
  [pha1 1537/2285] TRẦN   hard3_0272
  [pha1 1538/2285] TRẦN   hard3_0273
  [pha1 1543/2285] TRẦN   hard3_0266
  [pha1 1544/2285] TRẦN   hard3_0267
  [pha1 1548/2285] TRẦN   hard3_0279
  [pha1 1549/2285] TRẦN   hard3_0268
  [pha1 1550/2285] TRẦN   hard3_0269
  [pha1 1552/2285] TRẦN   hard3_0271
  [pha1 1572/2285] TRẦN   hard3_0291
  [pha1 1574/2285] TRẦN   hard3_0321
  [pha1 1576/2285] TRẦN   hard3_0323
  [pha1 1577/2285] TRẦN   hard3_0292
  [pha1 1579/2285] TRẦN   hard3_0294
  [pha1 1580/2285] TRẦN   hard3_0295
  [pha1 1583/2285] TRẦN   hard3_0314
  [pha1 1587/2285] TRẦN   hard3_0318
  [pha1 1588/2285] TRẦN   hard3_0319
  [pha1 1589/2285] TRẦN   hard3_0296
  [pha1 1590/2285] TRẦN   hard3_0297
  [pha1 1591/2285] TRẦN   hard3_0298
  [pha1 1592/2285] TRẦN   hard3_0299
  [pha1 1600/2285] 36 phút, còn ~15 phút | {'GIỐNG': 1463, 'TRẦN': 122, 'ĐỔI': 15}
  [pha1 1613/2285] TRẦN   hard3_0340
  [pha1 1614/2285] TRẦN   hard3_0341
  [pha1 1629/2285] TRẦN   hard3_0324
  [pha1 1630/2285] TRẦN   hard3_0325
  [pha1 1631/2285] TRẦN   hard3_0326
  [pha1 1638/2285] TRẦN   hard3_0337
  [pha1 1648/2285] TRẦN   hard3_0379
  [pha1 1649/2285] TRẦN   hard3_0388
  [pha1 1676/2285] TRẦN   hard3_0387
  [pha1 1699/2285] TRẦN   evaluation_normal_0018
  [pha1 1745/2285] TRẦN   evaluation_normal_0040
  [pha1 1749/2285] TRẦN   evaluation_normal_0084
  [pha1 1761/2285] TRẦN   evaluation_normal_0088
  [pha1 1800/2285] 41 phút, còn ~11 phút | {'GIỐNG': 1650, 'TRẦN': 135, 'ĐỔI': 15}
  [pha1 1801/2285] TRẦN   evaluation_normal_0112
  [pha1 1811/2285] TRẦN   evaluation_normal_0134
  [pha1 1841/2285] TRẦN   evaluation_normal_0164
  [pha1 1853/2285] TRẦN   evaluation_normal_0160
  [pha1 1931/2285] TRẦN   evaluation_normal_0174
  [pha1 1947/2285] TRẦN   evaluation_normal_0198
